"new.id"	"Area.M2"	"p1"	"p2"	"p3"	"p4"	"x"	"y"	"Final.ID"	"initial1"	"initial2"	"initial3"	"initial4"
152	8470.13085	"grass"	"grass"	"grass"	"grass"	621272.715	7086671.43	"4447"	663197.021136284	0	0	0
153	3079.0282	"grass"	"grass"	"grass"	"grass"	620987.3138	7086937.974	"4448"	261613.271486015	0	0	0
154	23600.07935	"grass"	"grass"	"grass"	"grass"	620764.525	7087101.929	"4450"	2087831.28266846	0	0	0
155	6256.6877	"grass"	"grass"	"grass"	"grass"	621214.9154	7087863.041	"4453"	532285.127953747	0	0	0
156	2624.60775	"grass"	"grass"	"grass"	"grass"	621428.2836	7087050.874	"4457"	194920.831718364	0	0	0
157	20053.3997	"grass"	"grass"	"grass"	"grass"	621345.0675	7086767.534	"4458"	1667797.32250229	0	0	0
158	23447.37975	"grass"	"plough"	"plough"	"grain"	619467.615	7088072.303	"4464"	1772861.08537811	0	0	1480072.52847123
159	7568.06955	"stubble"	"stubble"	"plough"	"plough"	620030.8639	7088245.709	"4465"	102815.343829533	0	0	0
160	4593.4623	"plough"	"plough"	"plough"	"grain"	620557.1574	7088341.318	"4466"	0	0	0	348837.738637073
161	11996.51225	"grass"	"grass"	"grass"	"grass"	620039.38	7086223.762	"4474"	915876.341984365	0	0	0
162	1833.3609	"grass"	"grass"	"grass"	"grass"	619985.07	7086349.065	"4480"	138249.322716953	0	0	0
163	2081.79755	"stubble"	"stubble"	"grain"	"grain"	619790.1275	7087531.084	"4524"	54800.114216022	0	174670.16849622	0
164	3212.42355	"grass"	"grass"	"grass"	"grass"	620901.9553	7087658.223	"4529"	279700.725372926	0	0	0
165	13694.97025	"grass"	"grass"	"grass"	"grass"	621068.28	7087637.517	"4530"	1256643.87498859	0	0	0
166	1278.62815	"grass"	"grass"	"grass"	"grass"	620992.235	7087760.226	"4533"	113524.841208084	0	0	0
167	12535.85605	"grass"	"grass"	"grass"	"grain"	619976.46	7087254.165	"4544"	982891.645868655	0	0	828639.103591581
